,city,lat,lng,max_temp,humidity,cloudiness,wind_speed,country,date
85,Fasa,28.94,53.65,77.0,47,40,2.26,IR,1596595894
86,Bonavista,48.65,-53.11,54.0,78,100,4.0,CA,1596595589
87,San Quintín,30.48,-115.95,67.32,84,0,14.2,MX,1596595425
88,Salalah,17.02,54.09,80.6,83,75,8.05,OM,1596595373
89,Khatanga,71.97,102.5,62.62,89,100,9.44,RU,1596595357
90,Ayan,56.45,138.17,58.41,71,0,12.33,RU,1596595358
91,George Town,5.41,100.34,87.8,74,20,8.05,MY,1596595364
92,Puerto Ayora,-0.74,-90.35,66.99,94,76,1.01,EC,1596595371
93,Mar del Plata,-38.0,-57.56,55.0,100,100,3.36,AR,1596595278
94,Fereydūnkenār,36.69,52.52,71.6,83,75,2.24,IR,1596595896
95,Zhigansk,66.77,123.37,71.4,46,26,10.69,RU,1596595896
96,Kouroussa,10.65,-9.88,67.93,97,92,3.09,GN,1596595897
97,Berlevåg,70.86,29.09,51.8,87,75,6.93,NO,1596595521
98,Ribeira Grande,38.52,-28.7,73.02,92,41,8.55,PT,1596595394
99,Cayenne,4.93,-52.33,77.0,100,61,9.37,GF,1596595446
100,Lagoa,39.05,-27.98,73.09,91,53,14.05,PT,1596595354
101,Mossamedes,-15.2,12.15,65.44,87,63,4.34,AO,1596595501
102,San Cristobal,7.77,-72.22,66.36,92,78,4.83,VE,1596595330
103,Yonkers,40.93,-73.9,80.6,73,1,3.36,US,1596595898
104,Hong Kong,22.29,114.16,84.0,83,100,11.01,HK,1596595399
105,Cape Town,-33.93,18.42,51.01,57,0,12.75,ZA,1596595313
106,Nikol'sk,53.72,46.07,57.29,81,34,12.03,RU,1596595899
107,Sibolga,1.74,98.78,84.15,58,96,0.31,ID,1596595562
108,Dudinka,69.41,86.18,62.6,82,100,6.71,RU,1596595899
109,Touros,-5.2,-35.46,71.6,83,75,5.82,BR,1596595358
110,Tefé,-3.35,-64.71,79.25,62,78,1.01,BR,1596595493
111,Palu,-0.89,119.87,88.27,56,99,2.84,ID,1596595900
112,Provideniya,64.38,-173.3,53.6,66,40,15.66,RU,1596595358
113,Saint Anthony,45.02,-93.22,71.6,46,1,8.05,US,1596595388
114,Mount Gambier,-37.83,140.77,50.0,71,40,6.93,AU,1596595183
115,Lindi,-10.0,39.72,67.64,93,35,4.63,TZ,1596595551
116,Santo Ângelo,-28.3,-54.26,60.06,83,0,6.8,BR,1596595901
117,Walvis Bay,-22.96,14.51,57.0,93,0,5.82,NA,1596595902
118,Sitka,57.05,-135.33,57.2,93,90,14.99,US,1596595371
119,Half Moon Bay,37.46,-122.43,64.4,93,90,8.05,US,1596595386
120,Souillac,-20.52,57.52,66.2,72,75,11.41,MU,1596595434
121,Tsimmerbude,54.67,20.13,62.01,100,0,8.95,RU,1596595902
122,Chui,-33.7,-53.46,56.91,81,37,7.16,UY,1596595225
123,Adrar,20.5,-10.07,91.47,38,77,19.42,MR,1596595903
124,Hilo,19.73,-155.09,82.4,65,90,9.17,US,1596595359
125,Boquete,8.78,-82.43,64.0,100,100,1.39,PA,1596595903
126,Neustrelitz,53.37,13.08,54.0,89,65,5.84,DE,1596595904
127,Niesky,51.29,14.82,52.0,94,0,1.01,DE,1596595904
128,Grand Gaube,-20.01,57.66,66.2,72,75,11.41,MU,1596595376
129,Vila Velha,-20.33,-40.29,64.4,100,75,3.36,BR,1596595346
130,Olafsvik,64.89,-23.71,48.79,90,100,16.02,IS,1596595486
131,Chokurdakh,70.63,147.92,56.37,61,82,3.22,RU,1596595382
132,Kidal,18.44,1.41,80.65,66,31,7.45,ML,1596595905
133,Madridejos,39.47,-3.53,73.0,43,1,1.01,ES,1596595906
134,Bathsheba,13.22,-59.52,82.4,69,40,13.87,BB,1596595534
135,Norman Wells,65.28,-126.83,60.8,93,90,11.41,CA,1596595393
136,Leningradskiy,69.38,178.42,36.82,86,100,15.59,RU,1596595359
137,Villa Carlos Paz,-31.42,-64.5,73.99,49,0,10.29,AR,1596595907
138,Bhiwandi,19.3,73.07,77.0,100,90,11.41,IN,1596595907
139,Yellowknife,62.46,-114.35,60.8,93,90,9.17,CA,1596595289
140,Begowāl,31.62,75.52,86.0,74,20,2.24,IN,1596595907
141,Kunming,25.04,102.72,81.0,83,40,6.71,CN,1596595908
142,Banjar,-8.19,114.97,80.6,88,40,13.87,ID,1596595908
143,Dhidhdhoo,6.88,73.1,82.22,80,100,19.71,MV,1596595908
144,Makīnsk,52.63,70.42,69.91,69,0,12.77,KZ,1596595908
145,Roald,62.58,6.13,53.6,87,100,11.41,NO,1596595400
146,Ostrovnoy,68.05,39.51,58.21,81,88,15.95,RU,1596595467
147,Uglegorsk,49.08,142.03,56.05,90,100,2.42,RU,1596595909
148,Isangel,-19.55,169.27,72.91,59,69,5.79,VU,1596595383
149,Turukhansk,65.82,87.98,72.64,56,28,5.86,RU,1596595559
150,Boone,39.03,-92.33,64.99,78,86,4.7,US,1596595904
151,Robertson,36.52,-86.87,72.0,83,0,6.87,US,1596595910
152,East London,-33.02,27.91,57.51,73,99,8.41,ZA,1596595356
153,Lárdos,36.09,28.02,77.0,78,0,13.87,GR,1596595911
154,Esperance,-33.87,121.9,55.4,100,90,24.16,AU,1596595352
155,Seymchan,62.88,152.43,63.48,38,85,5.73,RU,1596595447
156,Arrondissement de Bar-le-Duc,48.75,5.17,53.6,71,0,3.36,FR,1596595911
157,Meulaboh,4.14,96.13,82.45,66,100,3.38,ID,1596595506
158,Hay River,60.82,-115.8,60.8,82,75,11.41,CA,1596595459
159,Zwedru,6.07,-8.13,64.98,95,65,2.46,LR,1596595912
160,Vardø,70.37,31.11,51.8,81,40,5.82,NO,1596595385
161,Torbay,47.67,-52.73,57.0,100,90,12.75,CA,1596595399
162,Hualmay,-11.1,-77.61,58.42,84,3,7.85,PE,1596595456
163,San Antonio,29.42,-98.49,89.6,51,1,4.7,US,1596595800
164,Amazar,53.86,120.88,59.2,90,100,5.66,RU,1596595674
165,Bonthe,7.53,-12.51,73.99,78,78,6.51,SL,1596595582
166,Belleville,44.18,-77.37,66.2,93,1,2.24,CA,1596595614
167,Poykovskiy,61.23,73.33,71.6,73,29,11.18,RU,1596595914
168,Mokrousovo,55.81,66.77,72.09,70,0,6.87,RU,1596595914
169,Nikolskoye,59.7,30.79,64.4,88,40,4.47,RU,1596595468
170,Bemidji,47.47,-94.88,62.6,72,1,2.24,US,1596595904
171,Kadnikov,59.5,40.34,58.39,95,100,6.4,RU,1596595915
172,Korla,41.76,86.15,90.27,15,0,8.16,CN,1596595472
173,Barabai,-2.58,115.38,90.93,55,60,1.21,ID,1596595915
174,Hobart,-42.88,147.33,48.2,61,75,27.51,AU,1596595212
175,San Patricio,19.22,-104.7,81.39,83,47,6.17,MX,1596595355
176,Henties Bay,-22.12,14.28,57.0,91,22,11.5,NA,1596595460
177,Edd,13.93,41.69,87.03,66,84,3.15,ER,1596595916
178,Suez,29.97,32.53,72.79,70,0,5.26,EG,1596595917
179,Kaeo,-35.1,173.78,62.01,3,78,7.0,NZ,1596595917
180,Zhangye,38.93,100.45,85.64,31,98,4.23,CN,1596595917
181,Isiolo,0.35,37.58,66.56,64,74,10.42,KE,1596595917
182,Rosa Zarate,0.33,-79.47,70.47,92,62,2.01,EC,1596595918
183,Thunder Bay,48.4,-89.32,57.2,82,20,6.93,CA,1596595276
184,Tasiilaq,65.61,-37.64,41.0,93,0,4.7,GL,1596595397
185,Saldanha,-33.01,17.94,39.2,80,0,6.93,ZA,1596595365
186,Te Anau,-45.42,167.72,52.97,77,24,0.81,NZ,1596595447
187,Visnes,59.36,5.22,59.0,93,90,20.8,NO,1596595919
188,Saskylakh,71.92,114.08,78.48,39,99,11.83,RU,1596595350
189,Surgut,61.25,73.42,71.6,73,32,11.18,RU,1596595919
190,Gizo Government Station,-8.1,156.84,83.98,77,34,10.92,SB,1596595919
191,Annau,37.89,58.52,73.4,46,20,9.17,TM,1596595920
192,Rāwah,34.48,41.91,78.48,50,0,15.46,IQ,1596595920
193,Chapais,49.78,-74.85,59.0,93,90,5.82,CA,1596595518
194,Haines Junction,60.75,-137.51,58.62,56,98,4.9,CA,1596595481
195,Hofn,64.25,-15.21,50.86,89,100,22.59,IS,1596595438
196,Mareeba,-17.0,145.43,82.0,62,14,10.0,AU,1596595440
197,Puerto del Rosario,28.5,-13.86,71.6,78,20,13.87,ES,1596595921
198,Shingū,33.73,135.98,86.0,74,40,4.7,JP,1596595144
199,Inhambane,-23.86,35.38,62.08,87,0,4.36,MZ,1596595372
200,Barrow,71.29,-156.79,42.8,87,90,3.36,US,1596595130
201,Sabha,27.04,14.43,83.1,17,0,10.96,LY,1596595922
202,Coos Bay,43.37,-124.22,64.0,88,90,12.75,US,1596595922
203,Caucayá,-0.19,-74.78,70.14,94,96,2.51,CO,1596595922
204,Saint George,37.1,-113.58,98.6,9,1,10.29,US,1596595390
205,Krasnosel'kup,65.7,82.47,70.41,58,11,8.9,RU,1596595400
206,Salihorsk,52.79,27.54,60.87,78,100,6.35,BY,1596595923
207,Kloulklubed,7.04,134.26,78.8,88,90,6.93,PW,1596595466
208,Saint-Philippe,-21.36,55.77,64.4,63,53,9.17,RE,1596595356
209,Caniço,32.63,-16.85,71.6,78,40,14.99,PT,1596595478
210,Iqaluit,63.75,-68.51,53.6,100,75,3.36,CA,1596595380
211,Port Hardy,50.7,-127.42,66.2,59,20,9.17,CA,1596595405
212,Cidreira,-30.18,-50.21,59.95,92,0,13.98,BR,1596595454
213,Faanui,-16.48,-151.75,77.9,73,16,11.34,PF,1596595371
214,Los Llanos de Aridane,28.66,-17.92,73.4,78,9,13.87,ES,1596595366
215,Laas,46.62,10.7,48.99,81,5,11.41,IT,1596595925
216,Alofi,-19.06,-169.92,80.6,83,75,5.82,NU,1596595474
217,Hasaki,35.73,140.83,91.0,70,75,6.93,JP,1596595383
218,Yangi Marg`ilon,40.43,71.72,82.4,28,0,6.93,UZ,1596595419
219,Lhokseumawe,5.18,97.15,84.76,60,100,3.42,ID,1596595926
220,Maniitsoq,65.42,-52.9,45.23,83,100,10.36,GL,1596595436
221,Massakory,13.0,15.73,77.34,76,99,9.69,TD,1596595927
222,Zyryanka,65.75,150.85,67.01,36,26,0.72,RU,1596595906
223,Chara,56.91,118.26,59.56,84,100,0.54,RU,1596595927
224,Carnarvon,-24.87,113.63,66.2,68,0,16.11,AU,1596595389
225,Esim,4.87,-2.24,71.15,84,28,6.98,GH,1596595387
226,Bambous Virieux,-20.34,57.76,66.2,72,75,11.41,MU,1596595379
227,Graciano Sánchez,23.92,-99.28,77.83,77,18,3.42,MX,1596595928
228,San Policarpo,12.18,125.51,82.02,78,99,1.68,PH,1596595442
229,Clyde River,70.47,-68.59,41.0,100,90,6.93,CA,1596595427
230,Gamboma,-1.88,15.86,74.8,73,81,3.06,CG,1596595929
231,Kenitra,34.26,-6.58,68.0,94,40,8.05,MA,1596595129
232,Cherskiy,68.75,161.3,41.88,76,100,12.64,RU,1596595389
233,Lapeer,43.05,-83.32,60.8,100,90,3.44,US,1596595930
234,Ilulissat,69.22,-51.1,41.0,86,54,1.12,GL,1596595395
235,Geraldton,-28.77,114.6,59.0,77,2,16.11,AU,1596595368
236,Beringovskiy,63.05,179.32,55.29,68,54,7.45,RU,1596595526
237,Mahon,39.89,4.27,73.4,73,0,6.93,ES,1596595931
238,Cabra,37.47,-4.44,75.99,73,0,1.12,ES,1596595581
239,Tahoua,14.89,5.27,77.59,74,70,9.28,NE,1596595636
240,Najrān,17.49,44.13,80.6,42,40,16.11,SA,1596595395
241,Riyadh,24.69,46.72,84.2,18,0,5.82,SA,1596595876
242,Ulverstone,-41.15,146.17,51.01,45,0,15.01,AU,1596595577
243,Kilindoni,-7.91,39.67,76.39,79,21,15.95,TZ,1596595932
244,Luganville,-15.53,167.17,80.6,74,75,4.7,VU,1596595932
245,Pisco,-13.7,-76.22,62.6,77,40,4.7,PE,1596595933
246,Marawi,8.0,124.29,82.99,80,71,5.01,PH,1596595572
247,Nantucket,41.28,-70.1,73.4,83,1,16.11,US,1596595307
248,Merauke,-8.47,140.33,81.52,71,17,14.0,ID,1596595934
249,Katsuura,35.13,140.3,91.0,70,20,9.17,JP,1596595450
250,Bāfq,31.61,55.41,80.29,26,79,2.44,IR,1596595934
251,Nuevo Casas Grandes,30.42,-107.92,82.0,39,100,7.0,MX,1596595934
252,Buraidah,26.33,43.98,78.8,34,0,5.82,SA,1596595525
253,Paducah,37.08,-88.6,64.4,88,1,6.11,US,1596595935
